module,type,name,res_id,src,value,comments
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                Duration:","<br/>
                                Duration:",
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                Start date:","<br/>
                                Start date:",
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__active,Active,Active,
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Add Attendees,Add Attendees,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Add Attendees,Add Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner__session_ids,Attended Sessions,Attended Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_users__session_ids,Attended Sessions,Attended Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendees_count,Attendees count,Attendees count,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Cancel,Cancel,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__color,Color,Color,
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,Configuration,
openacademy,model,"ir.model,name",openacademy.model_res_partner,Contact,Contact,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contact Tags,Contact Tags,
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,Contact Tags,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contacts,Contacts,
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,Contacts,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__course_id,Course,Course,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Course Form,Course Form,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_tree_view,Course Tree,Course Tree,
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Courses,Courses,
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Courses,Courses,
openacademy,model_terms,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,Create the first course,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_uid,Created by,Created by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_uid,Created by,Created by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__create_uid,Created by,Created by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_date,Created on,Created on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_date,Created on,Created on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__create_date,Created on,Created on,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Delete,Delete,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__description,Description,Description,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Description,Description,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__display_name,Display Name,Display Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__display_name,Display Name,Display Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__display_name,Display Name,Display Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__duration,Duration,Duration,
openacademy,model,"ir.model.fields,help",openacademy.field_openacademy_session__duration,Duration in days,Duration in days,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__hours,Duration in hours,Duration in hours,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__end_date,End Date,End Date,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,General,General,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_search_view,Group By,Group By,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__instructor_id,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner__instructor,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_users__instructor,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__write_uid,Last Updated by,Last Updated by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__write_uid,Last Updated by,Last Updated by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__write_uid,Last Updated by,Last Updated by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__write_date,Last Updated on,Last Updated on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__write_date,Last Updated on,Last Updated on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__write_date,Last Updated on,Last Updated on,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_search_view,My Courses,My Courses,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__name,Name,Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__seats,Number of seats,Number of seats,
openacademy,model,"ir.ui.menu,name",openacademy.main_openacademy_menu,Open Academy,Open Academy,
openacademy,model,"ir.ui.menu,name",openacademy.openacademy_menu,Open Academy,Open Academy,
openacademy,model,"ir.model,name",openacademy.model_openacademy_session,OpenAcademy Sessions,OpenAcademy Sessions,
openacademy,model,"res.groups,name",openacademy.group_manager,OpenAcademy/Manager,OpenAcademy/Manager,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.openacademy_session_graph_view,Participants by Courses,Participants by Courses,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Registered sessions,Registered sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__responsible_id,Responsable,Responsable,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_search_view,Responsible,Responsible,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,Schedule,Schedule,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_calendar_view,Session Calendar,Session Calendar,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_form_view,Session Form,Session Form,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_gantt_view,Session Gantt,Session Gantt,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.session_tree_view,Session Tree,Session Tree,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Session name:,Session name:,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__session_ids,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__session_ids,Sessions,Sessions,
openacademy,model,"ir.ui.menu,name",openacademy.session_menu,Sessions,Sessions,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.course_form_view,Sessions,Sessions,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.partner_instructor_form_view,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__start_date,Start Date,Start Date,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Subscribe,Subscribe,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__taken_seats,Taken seats,Taken seats,
openacademy,model,"res.partner.category,name",openacademy.teacher1,Teacher / Level 1,Teacher / Level 1,
openacademy,model,"res.partner.category,name",openacademy.teacher2,Teacher / Level 2,Teacher / Level 2,
openacademy,sql_constraint,openacademy.course,0,The course title must be unique,The course title must be unique,
openacademy,sql_constraint,openacademy.course,0,The title of the course should not be the description,The title of the course should not be the description,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__name,Title,Title,
openacademy,model,"ir.model,name",openacademy.model_openacademy_wizard,Wizard: Quick Registration of Attendees to Sessions,Wizard: Quick Registration of Attendees to Sessions,
openacademy,model,"ir.model,name",openacademy.model_openacademy_course,openacademy.course,openacademy.course,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,or,or,
